survey_round,perception_category,perception_type,response_category,response_percentage
2023-07-01,Price Level,One year ahead Expectation,Will Remain Same,10.2
2023-09-01,Price Level,One year ahead Expectation,Will Remain Same,9.9
2023-11-01,Price Level,One year ahead Expectation,Will Remain Same,10.2
2023-03-01,Price Level,One year ahead Expectation,Will Decrease,6.7
2023-05-01,Price Level,One year ahead Expectation,Will Decrease,7.3
2023-07-01,Price Level,One year ahead Expectation,Will Decrease,8.9
2023-09-01,Price Level,One year ahead Expectation,Will Decrease,11.7
2023-11-01,Price Level,One year ahead Expectation,Will Decrease,8.8
2023-03-01,Price Level,One year ahead Expectation,Net Response,-77.5
2023-05-01,Price Level,One year ahead Expectation,Net Response,-75.4
2023-07-01,Price Level,One year ahead Expectation,Net Response,-72.0
2023-09-01,Price Level,One year ahead Expectation,Net Response,-66.8
2023-11-01,Price Level,One year ahead Expectation,Net Response,-72.3
2023-03-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,86.5
2023-05-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,84.0
2023-07-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,84.5
2023-09-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,82.5
2023-11-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,81.8
2023-03-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,10.0
2023-05-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,12.5
2023-07-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,11.8
2023-09-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,13.4
2023-11-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,13.6
2023-03-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,3.5
2023-05-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,3.4
2023-07-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,3.7
2023-09-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,4.2
2023-11-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,4.6
2023-03-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-82.9
2023-05-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-80.6
2023-07-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-80.8
2023-09-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-78.3
2023-11-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-77.2
2023-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,81.4
2023-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,81.8
2023-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,80.8
2023-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,79.4
2023-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,80.1
2023-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,14.0
2023-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,14.1
2023-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,14.8
2023-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,15.8
2023-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,14.7
2023-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.6
2023-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.1
2023-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.4
2023-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.8
2023-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,5.2
2023-03-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-76.8
2023-05-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-77.8
2023-07-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-76.4
2023-09-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-74.6
2023-11-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-75.0
2023-03-01,Income,Current Perception,Increased,22.2
2023-05-01,Income,Current Perception,Increased,23.9
2023-07-01,Income,Current Perception,Increased,25.4
2023-09-01,Income,Current Perception,Increased,25.0
2023-11-01,Income,Current Perception,Increased,27.2
2023-03-01,Income,Current Perception,Remained Same,49.7
2023-05-01,Income,Current Perception,Remained Same,49.7
2023-07-01,Income,Current Perception,Remained Same,49.9
2023-09-01,Income,Current Perception,Remained Same,49.8
2023-11-01,Income,Current Perception,Remained Same,50.1
2023-03-01,Income,Current Perception,Decreased,28.1
2023-05-01,Income,Current Perception,Decreased,26.3
2023-07-01,Income,Current Perception,Decreased,24.8
2023-09-01,Income,Current Perception,Decreased,25.2
2023-11-01,Income,Current Perception,Decreased,22.7
2023-03-01,Income,Current Perception,Net Response,-5.9
2023-05-01,Income,Current Perception,Net Response,-2.4
2023-07-01,Income,Current Perception,Net Response,0.6
2023-09-01,Income,Current Perception,Net Response,-0.3
2023-11-01,Income,Current Perception,Net Response,4.5
2023-03-01,Income,One year ahead Expectation,Will Increase,54.1
2023-05-01,Income,One year ahead Expectation,Will Increase,53.8
2023-07-01,Income,One year ahead Expectation,Will Increase,54.7
2023-09-01,Income,One year ahead Expectation,Will Increase,55.7
2023-11-01,Income,One year ahead Expectation,Will Increase,57.9
2023-03-01,Income,One year ahead Expectation,Will Remain Same,38.4
2023-05-01,Income,One year ahead Expectation,Will Remain Same,39.4
2023-07-01,Income,One year ahead Expectation,Will Remain Same,38.6
2023-09-01,Income,One year ahead Expectation,Will Remain Same,37.8
2023-11-01,Income,One year ahead Expectation,Will Remain Same,36.0
2023-03-01,Income,One year ahead Expectation,Will Decrease,7.5
2023-05-01,Income,One year ahead Expectation,Will Decrease,6.9
2023-07-01,Income,One year ahead Expectation,Will Decrease,6.7
2023-09-01,Income,One year ahead Expectation,Will Decrease,6.5
2023-11-01,Income,One year ahead Expectation,Will Decrease,6.1
2023-03-01,Income,One year ahead Expectation,Net Response,46.7
2023-05-01,Income,One year ahead Expectation,Net Response,46.9
2023-07-01,Income,One year ahead Expectation,Net Response,48.0
2023-09-01,Income,One year ahead Expectation,Net Response,49.2
2023-11-01,Income,One year ahead Expectation,Net Response,51.8
2023-03-01,Spending,Current Perception,Increased,75.0
2023-05-01,Spending,Current Perception,Increased,73.4
2023-07-01,Spending,Current Perception,Increased,74.5
2023-09-01,Spending,Current Perception,Increased,74.6
2023-11-01,Spending,Current Perception,Increased,74.8
2023-03-01,Spending,Current Perception,Remained Same,19.6
2023-05-01,Spending,Current Perception,Remained Same,21.3
2023-07-01,Spending,Current Perception,Remained Same,20.5
2023-09-01,Spending,Current Perception,Remained Same,20.2
2023-11-01,Spending,Current Perception,Remained Same,20.6
2023-03-01,Spending,Current Perception,Decreased,5.4
2023-05-01,Spending,Current Perception,Decreased,5.3
2023-07-01,Spending,Current Perception,Decreased,5.0
2023-09-01,Spending,Current Perception,Decreased,5.2
2023-11-01,Spending,Current Perception,Decreased,4.6
2023-03-01,Spending,Current Perception,Net Response,69.6
2023-05-01,Spending,Current Perception,Net Response,68.1
2023-07-01,Spending,Current Perception,Net Response,69.6
2023-09-01,Spending,Current Perception,Net Response,69.4
2023-11-01,Spending,Current Perception,Net Response,70.1
2023-03-01,Spending,One year ahead Expectation,Will Increase,75.4
2023-05-01,Spending,One year ahead Expectation,Will Increase,73.8
2023-07-01,Spending,One year ahead Expectation,Will Increase,73.8
2023-09-01,Spending,One year ahead Expectation,Will Increase,75.2
2023-11-01,Spending,One year ahead Expectation,Will Increase,75.0
2023-03-01,Spending,One year ahead Expectation,Will Remain Same,19.9
2023-05-01,Spending,One year ahead Expectation,Will Remain Same,21.7
2023-07-01,Spending,One year ahead Expectation,Will Remain Same,21.3
2023-09-01,Spending,One year ahead Expectation,Will Remain Same,20.3
2023-11-01,Spending,One year ahead Expectation,Will Remain Same,21.0
2023-03-01,Spending,One year ahead Expectation,Will Decrease,4.6
2023-05-01,Spending,One year ahead Expectation,Will Decrease,4.6
2023-07-01,Spending,One year ahead Expectation,Will Decrease,4.8
2023-09-01,Spending,One year ahead Expectation,Will Decrease,4.6
2023-11-01,Spending,One year ahead Expectation,Will Decrease,4.1
2023-03-01,Spending,One year ahead Expectation,Net Response,70.8
2023-05-01,Spending,One year ahead Expectation,Net Response,69.2
2023-07-01,Spending,One year ahead Expectation,Net Response,69.0
2023-09-01,Spending,One year ahead Expectation,Net Response,70.6
2023-11-01,Spending,One year ahead Expectation,Net Response,70.9
2023-03-01,Spending- Essential Items,Current Perception,Increased,85.3
2023-05-01,Spending- Essential Items,Current Perception,Increased,84.0
2023-07-01,Spending- Essential Items,Current Perception,Increased,85.3
2023-09-01,Spending- Essential Items,Current Perception,Increased,84.9
2023-11-01,Spending- Essential Items,Current Perception,Increased,85.7
2024-01-01,Spending- Essential Items,Current Perception,Increased,84.1
2023-03-01,Spending- Essential Items,Current Perception,Remained Same,11.5
2023-05-01,Spending- Essential Items,Current Perception,Remained Same,12.8
2023-07-01,Spending- Essential Items,Current Perception,Remained Same,11.8
2023-09-01,Spending- Essential Items,Current Perception,Remained Same,11.9
2023-11-01,Spending- Essential Items,Current Perception,Remained Same,11.4
2024-01-01,Spending- Essential Items,Current Perception,Remained Same,12.9
2023-03-01,Spending- Essential Items,Current Perception,Decreased,3.2
2023-05-01,Spending- Essential Items,Current Perception,Decreased,3.2
2023-07-01,Spending- Essential Items,Current Perception,Decreased,3.0
2023-09-01,Spending- Essential Items,Current Perception,Decreased,3.2
2023-11-01,Spending- Essential Items,Current Perception,Decreased,2.9
2024-01-01,Spending- Essential Items,Current Perception,Decreased,3.0
2023-03-01,Spending- Essential Items,Current Perception,Net Response,82.1
2023-05-01,Spending- Essential Items,Current Perception,Net Response,80.8
2023-07-01,Spending- Essential Items,Current Perception,Net Response,82.3
2023-09-01,Spending- Essential Items,Current Perception,Net Response,81.7
2023-11-01,Spending- Essential Items,Current Perception,Net Response,82.7
2024-01-01,Spending- Essential Items,Current Perception,Net Response,81.1
2023-03-01,Spending- Essential Items,One year ahead Expectation,Will Increase,81.7
2023-05-01,Spending- Essential Items,One year ahead Expectation,Will Increase,81.3
2023-07-01,Spending- Essential Items,One year ahead Expectation,Will Increase,81.0
2023-09-01,Spending- Essential Items,One year ahead Expectation,Will Increase,82.0
2023-11-01,Spending- Essential Items,One year ahead Expectation,Will Increase,82.3
2024-01-01,Spending- Essential Items,One year ahead Expectation,Will Increase,81.8
2023-03-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,14.8
2023-05-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,15.2
2023-07-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,15.5
2023-09-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,14.4
2023-11-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,14.4
2024-01-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,14.6
2023-03-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.5
2023-05-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.5
2023-07-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.5
2023-09-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.6
2023-11-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.4
2024-01-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.6
2023-03-01,Spending- Essential Items,One year ahead Expectation,Net Response,78.2
2023-05-01,Spending- Essential Items,One year ahead Expectation,Net Response,77.8
2023-07-01,Spending- Essential Items,One year ahead Expectation,Net Response,77.5
2023-09-01,Spending- Essential Items,One year ahead Expectation,Net Response,78.4
2023-11-01,Spending- Essential Items,One year ahead Expectation,Net Response,78.9
2024-01-01,Spending- Essential Items,One year ahead Expectation,Net Response,78.2
2023-03-01,Spending- Non-Essential Items,Current Perception,Increased,25.2
2023-05-01,Spending- Non-Essential Items,Current Perception,Increased,25.8
2023-07-01,Spending- Non-Essential Items,Current Perception,Increased,26.6
2023-09-01,Spending- Non-Essential Items,Current Perception,Increased,23.4
2023-11-01,Spending- Non-Essential Items,Current Perception,Increased,25.2
2024-01-01,Spending- Non-Essential Items,Current Perception,Increased,27.2
2023-03-01,Spending- Non-Essential Items,Current Perception,Remained Same,34.8
2023-05-01,Spending- Non-Essential Items,Current Perception,Remained Same,38.2
2023-07-01,Spending- Non-Essential Items,Current Perception,Remained Same,36.9
2023-09-01,Spending- Non-Essential Items,Current Perception,Remained Same,38.5
2023-11-01,Spending- Non-Essential Items,Current Perception,Remained Same,36.6
2024-01-01,Spending- Non-Essential Items,Current Perception,Remained Same,36.2
2023-03-01,Spending- Non-Essential Items,Current Perception,Decreased,40.0
2023-05-01,Spending- Non-Essential Items,Current Perception,Decreased,36.1
2023-07-01,Spending- Non-Essential Items,Current Perception,Decreased,36.5
2023-09-01,Spending- Non-Essential Items,Current Perception,Decreased,38.2
2023-11-01,Spending- Non-Essential Items,Current Perception,Decreased,38.2
2024-01-01,Spending- Non-Essential Items,Current Perception,Decreased,36.6
2023-03-01,Spending- Non-Essential Items,Current Perception,Net Response,-14.8
2023-05-01,Spending- Non-Essential Items,Current Perception,Net Response,-10.3
2023-07-01,Spending- Non-Essential Items,Current Perception,Net Response,-10.0
2023-09-01,Spending- Non-Essential Items,Current Perception,Net Response,-14.8
2023-11-01,Spending- Non-Essential Items,Current Perception,Net Response,-13.0
2024-01-01,Spending- Non-Essential Items,Current Perception,Net Response,-9.4
2023-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,34.5
2023-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,35.3
2023-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,34.8
2023-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,33.0
2023-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,34.1
2024-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,34.6
2023-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,36.8
2023-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,37.5
2023-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,37.6
2023-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,38.2
2023-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,36.8
2024-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,36.4
2023-03-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,28.8
2023-05-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,27.2
2023-07-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,27.6
2023-09-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,28.8
2023-11-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,29.0
2024-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,29.0
2023-03-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,5.7
2023-05-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,8.2
2023-07-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,7.3
2023-09-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,4.2
2023-11-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,5.1
2024-01-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,5.5
2023-01-01,the General Economic Situation,Current Perception,Increased,28.3
2023-01-01,the General Economic Situation,Current Perception,Remained Same,19.6
2023-01-01,the General Economic Situation,Current Perception,Decreased,52.1
2023-01-01,the General Economic Situation,Current Perception,Net Response,-23.7
2023-01-01,the General Economic Situation,One year ahead Expectation,Will Increase,50.2
2023-01-01,the General Economic Situation,One year ahead Expectation,Will Remain Same,16.6
2023-01-01,the General Economic Situation,One year ahead Expectation,Will Decrease,33.2
2023-01-01,the General Economic Situation,One year ahead Expectation,Net Response,17.0
2023-01-01,Employment,Current Perception,Increased,30.0
2023-01-01,Employment,Current Perception,Remained Same,20.1
2023-01-01,Employment,Current Perception,Decreased,49.9
2023-01-01,Employment,Current Perception,Net Response,-19.9
2023-01-01,Employment,One year ahead Expectation,Will Increase,51.8
2023-01-01,Employment,One year ahead Expectation,Will Remain Same,18.0
2023-01-01,Employment,One year ahead Expectation,Will Decrease,30.2
2023-01-01,Employment,One year ahead Expectation,Net Response,21.6
2023-01-01,Price Level,Current Perception,Increased,93.6
2023-01-01,Price Level,Current Perception,Remained Same,5.0
2023-01-01,Price Level,Current Perception,Decreased,1.3
2023-01-01,Price Level,Current Perception,Net Response,-92.3
2023-01-01,Price Level,One year ahead Expectation,Will Increase,83.0
2023-01-01,Price Level,One year ahead Expectation,Will Remain Same,10.1
2023-01-01,Price Level,One year ahead Expectation,Will Decrease,7.0
2023-01-01,Price Level,One year ahead Expectation,Net Response,-76.1
2023-01-01,Rate of Change in Price Level (Inflation),Current Perception,Increased,86.5
2023-01-01,Rate of Change in Price Level (Inflation),Current Perception,Remained Same,10.5
2023-01-01,Rate of Change in Price Level (Inflation),Current Perception,Decreased,3.0
2023-01-01,Rate of Change in Price Level (Inflation),Current Perception,Net Response,-83.6
2023-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Increase,80.3
2023-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Remain Same,15.5
2023-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Will Decrease,4.1
2023-01-01,Rate of Change in Price Level (Inflation),One year ahead Expectation,Net Response,-76.2
2023-01-01,Income,Current Perception,Increased,21.4
2023-01-01,Income,Current Perception,Remained Same,49.0
2023-01-01,Income,Current Perception,Decreased,29.6
2023-01-01,Income,Current Perception,Net Response,-8.3
2023-01-01,Income,One year ahead Expectation,Will Increase,54.5
2023-01-01,Income,One year ahead Expectation,Will Remain Same,38.7
2023-01-01,Income,One year ahead Expectation,Will Decrease,6.9
2023-01-01,Income,One year ahead Expectation,Net Response,47.6
2023-01-01,Spending,Current Perception,Increased,73.9
2023-01-01,Spending,Current Perception,Remained Same,20.6
2023-01-01,Spending,Current Perception,Decreased,5.5
2023-01-01,Spending,Current Perception,Net Response,68.4
2023-01-01,Spending,One year ahead Expectation,Will Increase,75.5
2023-01-01,Spending,One year ahead Expectation,Will Remain Same,19.8
2023-01-01,Spending,One year ahead Expectation,Will Decrease,4.7
2023-01-01,Spending,One year ahead Expectation,Net Response,70.8
2023-01-01,Spending- Essential Items,Current Perception,Increased,84.1
2023-01-01,Spending- Essential Items,Current Perception,Remained Same,12.3
2023-01-01,Spending- Essential Items,Current Perception,Decreased,3.6
2023-01-01,Spending- Essential Items,Current Perception,Net Response,80.5
2023-01-01,Spending- Essential Items,One year ahead Expectation,Will Increase,81.3
2023-01-01,Spending- Essential Items,One year ahead Expectation,Will Remain Same,15.2
2023-01-01,Spending- Essential Items,One year ahead Expectation,Will Decrease,3.5
2023-01-01,Spending- Essential Items,One year ahead Expectation,Net Response,77.8
2023-01-01,Spending- Non-Essential Items,Current Perception,Increased,22.1
2023-01-01,Spending- Non-Essential Items,Current Perception,Remained Same,35.2
2023-01-01,Spending- Non-Essential Items,Current Perception,Decreased,42.8
2023-01-01,Spending- Non-Essential Items,Current Perception,Net Response,-20.7
2023-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Increase,31.9
2023-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Remain Same,38.4
2023-01-01,Spending- Non-Essential Items,One year ahead Expectation,Will Decrease,29.8
2023-01-01,Spending- Non-Essential Items,One year ahead Expectation,Net Response,2.1
